entrez,symbol,pubmed_id,type,organ_system,primary_site,cancer_type,method,coding_status,cgc_annotation,vogelstein_annotation,saito_annotation,NCG_oncogene,NCG_tsg,driver_type
3418,IDH2,26437031,WGS-WES-Gene Panel,Hematologic and lymphatic,blood,T-cell_leukemia/lymphoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,27063598,WES-Gene Panel,Hematologic and lymphatic,blood,acute_promyelocytic_leukemia,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,26648538,WGS-Gene Panel,Hematologic and lymphatic,blood,chronic_myelomonocytic_leukemia,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,26908133,WGS-WES,Hematologic and lymphatic,blood,chronic_myelomonocytic_leukemia,DrGap,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,24325359,WES,Hematologic and lymphatic,blood,myeloproliferative_neoplasm,Paper-specific,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,24413734,WES,Hematologic and lymphatic,blood,peripheral_T-cell_lymphoma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,32494066,Canonical Cancer Driver,Multiple,multiple,,,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,24413737,WES,Hematologic and lymphatic,blood,angioimmunoblastic_T-cell_lymphoma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,23770606,WES,Soft tissue,bone,chondrosarcoma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3418,IDH2,22817890,WGS,Hematologic and lymphatic,blood,acute_myeloid_leukemia,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3429,IFI27,28249600,WES,Hematologic and lymphatic,blood,acute_myeloid_leukemia,MutSig,coding,,,,,,cancer
3437,IFIT3,22722829,WGS,Soft tissue,brain,medulloblastoma,MuSiC,coding,,,,,,cancer
3480,IGF1R,27135926,WGS,Gynecologic,breast,breast_cancer,Paper-specific,coding,,,,,,cancer
3480,IGF1R,27270107,WES,Soft tissue,brain,glioblastoma,MutComFocal,coding,,,,,,cancer
3480,IGF1R,26939876,Gene Panel,Gynecologic,breast,triple_negative_breast_cancer,"Recurrence-based, Paper-specific",coding,,,,,,cancer
3481,IGF2,25743702,WGS-WES,Endocrine,adrenal_gland,adrenocortical_carcinoma,Recurrence-based,coding,,,,,,cancer
3482,IGF2R,24705252,WGS-WES,Soft tissue,brain,diffuse_intrinsic_pontine_glioma,Recurrence-based,coding,,,,,,cancer
3482,IGF2R,22156295,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,Recurrence-based,coding,,,,,,cancer
3516,RBPJ,28548104,WGS,Core gastrointestinal,esophagus,esophageal_squamous_carcinoma,MutSig,coding,,,,,,cancer
3551,IKBKB,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
3551,IKBKB,26437031,WGS-WES-Gene Panel,Hematologic and lymphatic,blood,T-cell_leukemia/lymphoma,MutSig,coding,oncogene,,,1.0,0.0,cancer
3551,IKBKB,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,oncogene,,,1.0,0.0,cancer
3551,IKBKB,26258846,WES,Developmental gastrointestinal,hepatobiliary,biliary_tract_cancer,MutSig,coding,oncogene,,,1.0,0.0,cancer
3552,IL1A,20668451,Gene Panel,Thoracic,lung,lung_cancer_(all_histologies),Wood-based,coding,,,,,,cancer
3553,IL1B,22156295,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,Recurrence-based,coding,,,,,,cancer
3561,IL2RG,18772397,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,Wood-based,coding,,,,,,cancer
3566,IL4R,26824661,WGS-WES,Soft tissue,brain,pan-glioma,MutSig,coding,,,,,,cancer
3572,IL6ST,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,oncogene,,,1.0,0.0,cancer
3572,IL6ST,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
3572,IL6ST,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,oncogene,,,1.0,0.0,cancer
3572,IL6ST,28622513,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,"MutSig, Recurrence-based",coding,oncogene,,,1.0,0.0,cancer
3575,IL7R,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,oncogene,,,1.0,0.0,cancer
3575,IL7R,28256603,WES plus targeted deep resequencing,Head and neck,head_and_neck,nasopharyngeal_carcinoma,"Literature-based, Paper-specific",coding,oncogene,,,1.0,0.0,cancer
3575,IL7R,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
3575,IL7R,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,oncogene,,,1.0,0.0,cancer
3575,IL7R,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,oncogene,,,1.0,0.0,cancer
3575,IL7R,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,oncogene,,,1.0,0.0,cancer
3575,IL7R,22237106,WGS,Hematologic and lymphatic,blood,acute_lymphoblastic_leukemia,Recurrence-based,coding,oncogene,,,1.0,0.0,cancer
3579,CXCR2,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3597,IL13RA1,22895193,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,Wood-based,coding,,,,,,cancer
3607,FOXK2,25501392,Pan-cancer,Multiple,multiple,pan-cancer_adult,HOTNET2,coding,,,,,,cancer
3621,ING1,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,,,,,,cancer
3621,ING1,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
3621,ING1,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3624,INHBA,18948947,Gene Panel,Thoracic,lung,lung_adenocarcinoma,MuSiC,coding,,,,,,cancer
3624,INHBA,27687306,WES,Thoracic,lung,lung_adenocarcinoma,InVEx,coding,,,,,,cancer
3631,INPP4A,23636398,WES,Gynecologic,uterus,endometrial_cancer,MuSiC,coding,,,,,,cancer
3631,INPP4A,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3636,INPPL1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
3636,INPPL1,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
3643,INSR,27325650,WES,Urologic,penis,penile_squamous_cancer,"IntOGen, Literature-based",coding,,,,,,cancer
3646,EIF3E,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"TSG, fusion",,,0.0,1.0,cancer
3659,IRF1,31444325,WGS-WES,Hematologic and lymphatic,blood,multiple_myeloma,dNdScv,coding,,,,,,cancer
3659,IRF1,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3660,IRF2,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
3660,IRF2,22561517,WES,Developmental gastrointestinal,hepatobiliary,hepatocellular_carcinoma,Recurrence-based,coding,,,,,,cancer
3662,IRF4,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, TSG, fusion",,,0.0,0.0,cancer
3662,IRF4,26437031,WGS-WES-Gene Panel,Hematologic and lymphatic,blood,T-cell_leukemia/lymphoma,MutSig,coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
3662,IRF4,26466571,WES,Hematologic and lymphatic,blood,chronic_lymphocytic_leukemia,MutSig,coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
3662,IRF4,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
3662,IRF4,30132154,WES,Core gastrointestinal,stomach,gastric_cancer,Recurrence-based,coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
3662,IRF4,31444325,WGS-WES,Hematologic and lymphatic,blood,multiple_myeloma,dNdScv,coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
3662,IRF4,21796119,WES,Hematologic and lymphatic,blood,non-Hodgkin_lymphoma,Greenman-based,coding,"oncogene, TSG, fusion",,,0.0,0.0,cancer
3663,IRF5,26790612,WES,Head and neck,head_and_neck,squamous_head_and_neck_cancer,MuSiC,coding,,,,,,cancer
3664,IRF6,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
3664,IRF6,27158780,WES,Thoracic,lung,lung_cancer_(all_histologies),MutSig,coding,,,,,,cancer
3664,IRF6,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
3664,IRF6,21798893,WES,Head and neck,head_and_neck,squamous_head_and_neck_cancer,MutSig,coding,,,,,,cancer
3664,IRF6,25855536,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,MutSig,coding,,,,,,cancer
3665,IRF7,28064239,WES,Hematologic and lymphatic,blood,follicular_lymphoma,MuSiC,coding,,,,,,cancer
3667,IRS1,20601955,Gene Panel,Soft tissue,soft_tissue,soft_tissue_sarcoma,Recurrence-based,coding,,,,,,cancer
3667,IRS1,26648538,WGS-Gene Panel,Hematologic and lymphatic,blood,chronic_myelomonocytic_leukemia,Recurrence-based,coding,,,,,,cancer
3676,ITGA4,26091043,WES,Skin,skin,melanoma,"InVEx, MutSig",coding,,,,,,cancer
3676,ITGA4,28296713,WES,Skin,skin,mucosal_melanoma,Recurrence-based,coding,,,,,,cancer
3682,ITGAE,25855536,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,MutSig,coding,,,,,,cancer
3685,ITGAV,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,,,,0.0,0.0,cancer
3695,ITGB7,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
3697,ITIH1,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,,,,,,cancer
3702,ITK,20668451,Gene Panel,Thoracic,lung,lung_cancer_(all_histologies),Wood-based,coding,,,,,,cancer
3702,ITK,26258847,WES-Gene Panel,Hematologic and lymphatic,blood,cutaneous_T_cell_lymphoma,Recurrence-based,coding,,,,,,cancer
3707,ITPKB,23415222,WES,Hematologic and lymphatic,blood,chronic_lymphocytic_leukemia,MutSig,coding,,,,,,cancer
3707,ITPKB,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
3710,ITPR3,26909576,WGS,Developmental gastrointestinal,pancreas,pancreatic_cancer_(all_histologies),"HOTNET2, OncodriveFM, MutSig",coding,,,,,,cancer
3716,JAK1,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,"oncogene, TSG",Oncogene,,1.0,0.0,cancer
3716,JAK1,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,"oncogene, TSG",Oncogene,,1.0,0.0,cancer
3716,JAK1,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, TSG",Oncogene,,1.0,0.0,cancer
3716,JAK1,27348297,WES,Gynecologic,uterus,endometrial_cancer,MutSig,coding,"oncogene, TSG",Oncogene,,1.0,0.0,cancer
3716,JAK1,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,"oncogene, TSG",Oncogene,,1.0,0.0,cancer
3716,JAK1,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, TSG",Oncogene,,1.0,0.0,cancer
3716,JAK1,22237106,WGS,Hematologic and lymphatic,blood,acute_lymphoblastic_leukemia,Recurrence-based,coding,"oncogene, TSG",Oncogene,,1.0,0.0,cancer
3717,JAK2,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3717,JAK2,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3717,JAK2,22327622,Gene Panel,Thoracic,lung,non-small_cell_lung_cancer,Recurrence-based,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3717,JAK2,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3717,JAK2,26648538,WGS-Gene Panel,Hematologic and lymphatic,blood,chronic_myelomonocytic_leukemia,Recurrence-based,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3717,JAK2,26908133,WGS-WES,Hematologic and lymphatic,blood,chronic_myelomonocytic_leukemia,DrGap,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3717,JAK2,24325359,WES,Hematologic and lymphatic,blood,myeloproliferative_neoplasm,Paper-specific,coding,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3717,JAK2,32494066,Canonical Cancer Driver,Multiple,multiple,,,,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3717,JAK2,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,"oncogene, fusion",Oncogene,Oncogene,1.0,0.0,cancer
3718,JAK3,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,oncogene,Oncogene,,1.0,0.0,cancer
3718,JAK3,23263491,WES,Hematologic and lymphatic,blood,acute_lymphoblastic_leukemia,MuSiC,coding,oncogene,Oncogene,,1.0,0.0,cancer
3718,JAK3,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,,1.0,0.0,cancer
3718,JAK3,26437031,WGS-WES-Gene Panel,Hematologic and lymphatic,blood,T-cell_leukemia/lymphoma,MutSig,coding,oncogene,Oncogene,,1.0,0.0,cancer
3718,JAK3,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,oncogene,Oncogene,,1.0,0.0,cancer
3718,JAK3,26457647,WES-Gene Panel,Hematologic and lymphatic,blood,juvenile_myelomonocytic_leukemia,"Paper-specific, Literature-based",coding,oncogene,Oncogene,,1.0,0.0,cancer
3718,JAK3,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,,1.0,0.0,cancer
3718,JAK3,22237106,WGS,Hematologic and lymphatic,blood,acute_lymphoblastic_leukemia,Recurrence-based,coding,oncogene,Oncogene,,1.0,0.0,cancer
3725,JUN,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
3735,KARS1,27158780,WES,Thoracic,lung,lung_cancer_(all_histologies),MutSig,coding,,,,,,cancer
3739,KCNA4,27313181,WES,Core gastrointestinal,stomach,mucinous_gastric_cancer,Recurrence-based,coding,,,,,,cancer
3742,KCNA6,21798893,WES,Head and neck,head_and_neck,squamous_head_and_neck_cancer,MutSig,coding,,,,,,cancer
3757,KCNH2,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3762,KCNJ5,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
3765,KCNJ9,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3775,KCNK1,28362259,WGS,Multiple,multiple,pan-cancer_adult,ncdDetect,noncoding,,,,,,cancer
3781,KCNN2,29354286,WGS,Multiple,multiple,pan-cancer_adult,ncDriver,noncoding,,,,,,cancer
3782,KCNN3,26451490,WES,Gynecologic,breast,breast_cancer,MutSig,coding,,,,,,cancer
3782,KCNN3,28128360,WGS,Multiple,multiple,pan-cancer_adult,ExInAtor,coding,,,,,,cancer
3786,KCNQ3,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,,,,,,cancer
3786,KCNQ3,27595477,WGS,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,MutSigCV,coding,,,,,,cancer
3786,KCNQ3,31954095,WGS,Multiple,multiple,pan-cancer_adult,ActiveDriverWGS,noncoding,,,,,,cancer
3791,KDR,18948947,Gene Panel,Thoracic,lung,lung_adenocarcinoma,MuSiC,coding,oncogene,,,1.0,0.0,cancer
3791,KDR,28297679,WES,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,MutSig,coding,oncogene,,,1.0,0.0,cancer
3791,KDR,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,,,1.0,0.0,cancer
3791,KDR,20668451,Gene Panel,Thoracic,lung,lung_cancer_(all_histologies),Wood-based,coding,oncogene,,,1.0,0.0,cancer
3791,KDR,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,oncogene,,,1.0,0.0,cancer
3791,KDR,24755198,WES-Gene Panel,Skin,skin,melanoma,Recurrence-based,coding,oncogene,,,1.0,0.0,cancer
3792,KEL,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,,,,,,cancer
3792,KEL,24120142,WES,Soft tissue,brain,glioblastoma,"InVEx, MutSig",coding,,,,,,cancer
3792,KEL,26824661,WGS-WES,Soft tissue,brain,pan-glioma,MutSig,coding,,,,,,cancer
3792,KEL,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,,,,,,cancer
3801,KIFC3,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3811,KIR3DL1,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3815,KIT,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,20601955,Gene Panel,Soft tissue,soft_tissue,soft_tissue_sarcoma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,23634996,WGS-WES,Hematologic and lymphatic,blood,acute_myeloid_leukemia,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,22976956,Gene Panel,Hematologic and lymphatic,blood,acute_myeloid_leukemia,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,29489754,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,28467829,WGS,Skin,skin,melanoma,"MutSigCV, OncodriveFML",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,28296713,WES,Skin,skin,mucosal_melanoma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,24132290,Pan-cancer,Multiple,multiple,pan-cancer_adult,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,24390350,Pan-cancer,Multiple,multiple,pan-cancer_adult,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,25609015,WES,Urologic,testis,testicular_germ_cell_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,29230811,WES,Skin,skin,mucosal_melanoma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,29489755,Pan-cancer,Multiple,multiple,pan-cancer_paediatric,"GRIN, MutSig",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,27063598,WES-Gene Panel,Hematologic and lymphatic,blood,acute_promyelocytic_leukemia,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,31320640,WGS-WES,Skin,skin,mucosal_melanoma,"OncodriveFM, OncodriveClust, OncodriveFML, MuSiC2, 20/20+, dNdScv, MutSigCV, Literature-based",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,32494066,Canonical Cancer Driver,Multiple,multiple,,,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,29898407,WES,Urologic,testis,testicular_germ_cell_cancer,MutSigCV,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,23539594,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,24896186,WES,Soft tissue,brain,intracranial_germ_cell,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,26939876,Gene Panel,Gynecologic,breast,triple_negative_breast_cancer,"Recurrence-based, Paper-specific",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3815,KIT,22817890,WGS,Hematologic and lymphatic,blood,acute_myeloid_leukemia,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3816,KLK1,27311963,WGS-WES,Multiple,multiple,pan-cancer_adult,OncodriveFML,coding,,,,,,cancer
3837,KPNB1,28052061,WGS-WES,Core gastrointestinal,esophagus,esophageal_(squamous_and_adenocarcinoma),MutSig,coding,,,,,,cancer
3842,TNPO1,29617667,WES,Multiple,multiple,pan-cancer_adult,"MutSigCV, 20/20",coding,,,,,,cancer
3843,IPO5,27009842,WES,Soft tissue,peripheral_nervous_system,neuroblastoma,Paper-specific,coding,,,,,,cancer
3845,KRAS,25730765,WGS,Hematologic and lymphatic,blood,acute_lymphocytic_leukemia,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,26909576,WGS,Developmental gastrointestinal,pancreas,pancreatic_cancer_(all_histologies),"HOTNET2, OncodriveFM, MutSig",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,29625053,Pan-cancer,Multiple,multiple,pan-cancer_adult,PanSoftWare,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,21892161,WGS,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,24633157,WGS-WES-Gene Panel,Soft tissue,soft_tissue,angiosarcoma,Greenman-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,29622464,WES,Gynecologic,pan-gynecological and breast,pan-gynecological and breast,"MutSigCV, 20/20",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,23103869,WES,Developmental gastrointestinal,pancreas,pancreatic_ductal_adenocarcinoma,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,26950094,WES-Gene Panel,Skin,skin,skin_basal_cell_carcinoma,"MutSig, TumOnc",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,27158780,WES,Thoracic,lung,lung_cancer_(all_histologies),MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,22810696,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,23636398,WES,Gynecologic,uterus,endometrial_cancer,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,23634996,WGS-WES,Hematologic and lymphatic,blood,acute_myeloid_leukemia,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,25417114,WES,Endocrine,thyroid,papillary_thyroid_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,25079552,WES,Thoracic,lung,lung_adenocarcinoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,25079317,WES,Core gastrointestinal,stomach,gastric_adenocarcinoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,26824661,WGS-WES,Soft tissue,brain,pan-glioma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,24185513,WES,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,21430775,WGS-WES,Hematologic and lymphatic,blood,multiple_myeloma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,28292439,WES,Gynecologic,uterus,uterine_carcinosarcoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,28522256,WES,Core gastrointestinal,stomach,diffuse_gastric_adenocarcinoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,26451490,WES,Gynecologic,breast,breast_cancer,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,29895955,Gene Panel,Hematologic and lymphatic,blood,multiple_myeloma,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,18948947,Gene Panel,Thoracic,lung,lung_adenocarcinoma,MuSiC,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,22976956,Gene Panel,Hematologic and lymphatic,blood,acute_myeloid_leukemia,Recurrence-based,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,26121087,WGS,Soft tissue,peripheral_nervous_system,neuroblastoma,Paper-specific,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,28297679,WES,Developmental gastrointestinal,hepatobiliary,cholangiocarcinoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,30718927,WGS-WES,Core gastrointestinal,esophagus,esophageal_adenocarcinoma,"dNdScv, ActiveDriverWGS, MutSig2CV, OncodriveFM, OncodriveClust, eDriver, eDriver3D",coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,14993899,Canonical Cancer Driver,Multiple,multiple,,-,,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
3845,KRAS,27149842,WES,Core gastrointestinal,colorectal,colorectal_adenocarcinoma,MutSig,coding,oncogene,Oncogene,Oncogene,1.0,0.0,cancer
